Song	Genre	Youtube	Tags	Map	Mapper
The Devourer of Gods (Nonstop Mix) DM DOKURO	Video Game	https://www.youtube.com/watch?v=wjOj_6cMGEY		https://osu.ppy.sh/beatmapsets/1205309	https://osu.ppy.sh/users/3378391
Cranberry City (Extended Mix) lapix feat. Luschel	Video Game	https://www.youtube.com/watch?v=0pRWhzQ-CyM		https://osu.ppy.sh/beatmapsets/1197933	https://osu.ppy.sh/users/6502903
Nemureru Honnou (TV Size) YURiKA	Anime	https://www.youtube.com/watch?v=vin0sr7RAsQ		https://osu.ppy.sh/beatmapsets/1158834	https://osu.ppy.sh/users/3388410
Fuyu no Hanashi Given	Anime	https://www.youtube.com/watch?v=YND9-kErbQc		https://osu.ppy.sh/beatmapsets/1188243	https://osu.ppy.sh/users/11787713
Everybody Loves Me OneRepublic	Rock	https://www.youtube.com/watch?v=j8sb_Or0FUs		https://osu.ppy.sh/beatmapsets/1171113	https://osu.ppy.sh/users/12511572
NEW The Winking Owl	Rock	https://www.youtube.com/watch?v=vGR5MeEXPn0		https://osu.ppy.sh/beatmapsets/1092559	https://osu.ppy.sh/users/6064571
WHAT THE CAT!? Camellia	Electronic	https://www.youtube.com/watch?v=Q-_4Rd2wMRc		https://osu.ppy.sh/beatmapsets/1063740	https://osu.ppy.sh/users/9555243
Ryokugan no Jealousy ZUN	Video Game	https://www.youtube.com/watch?v=H40xzc2XwZY		https://osu.ppy.sh/beatmapsets/999586	https://osu.ppy.sh/users/5099768
209 Bandouro (Hiru) Satou Hitomi	Video Game	https://www.youtube.com/watch?v=FH0dt61vhkg		https://osu.ppy.sh/beatmapsets/1009241	https://osu.ppy.sh/users/7592136
Yukitoki yanaginagi	Anime	https://www.youtube.com/watch?v=QvFzfj-3Qvo		https://osu.ppy.sh/beatmapsets/1216983	https://osu.ppy.sh/users/3513559
GIANTS (feat. Becky G, Keke Palmer, SOYEON, DUCKWRTH, Thutmose) True Damage	Video Game	https://www.youtube.com/watch?v=sVZpHFXcFJw		https://osu.ppy.sh/beatmapsets/1063804	https://osu.ppy.sh/users/3906405
I'M A BELIEVER (TV Size) SPYAIR	Anime	https://www.youtube.com/watch?v=ZW7Ykl3QljQ		https://osu.ppy.sh/beatmapsets/1200805	https://osu.ppy.sh/users/11077540
Wrong Enemy !? toby fox	Video Game	https://www.youtube.com/watch?v=lN9JsxrI4v8		https://osu.ppy.sh/beatmapsets/1219095	https://osu.ppy.sh/users/8071438
Shikaki to Coffee Yorushika	Rock	https://www.youtube.com/watch?v=hr6u26mdAnI		https://osu.ppy.sh/beatmapsets/1101236	https://osu.ppy.sh/users/3502611
Gloom After Death Sound Souler	Electronic	https://www.youtube.com/watch?v=vg4qQrl9HYc		https://osu.ppy.sh/beatmapsets/1168535	https://osu.ppy.sh/users/7299864
King Kunta Kendrick Lamar	Hip Hop	https://www.youtube.com/watch?v=hRK7PVJFbS8		https://osu.ppy.sh/beatmapsets/1175317	https://osu.ppy.sh/users/8071438
