Song 	 Genre 	 Stream 	 Tags 	 Score 	 Map 	 Mapper 
My life is for you HyuN feat. Yu-A	 - 	https://www.youtube.com/watch?v=s89N3c_aMpo	featured, artist, fa, hyunesis, ft., yua, jisol, 35, autumnal, equinox, muse, dash, peroperogames, stum, anime, pop, anipop, j-core, j-pop, electronic, 		https://osu.ppy.sh/beatmapsets/976311	https://osu.ppy.sh/users/17497474
subtractive Expander	 - 	https://www.youtube.com/watch?v=Q8UhfWvIeHE	syameimaru-aya, ylvy, yukiya, bor, instrumental, sota, fujimori, video, game, electronic, 		https://osu.ppy.sh/beatmapsets/889514	https://osu.ppy.sh/users/14657638
Made in Abyss Kevin Penkin	 - 	https://www.youtube.com/watch?v=9Cyp0R7lRf8	bgm, background, music, soundtrack, ost, anime, instrumental, zer0-g, zero-g, 		https://osu.ppy.sh/beatmapsets/1212828	https://osu.ppy.sh/users/17514033
Wizdomiot (extended ver.) LeaF	 - 	https://www.youtube.com/watch?v=9aJkrGCax30	featured, artist, mappers', guild, the, 7th, toho, only, bms, festival, 東方音弾遊戯7, 東方project, touhou, chireiden, 東方地霊殿, ～, subterranean, animism, 緑眼のジェラシー, green, 		https://osu.ppy.sh/beatmapsets/1155135	https://osu.ppy.sh/users/11044775
ROXANNE Arizona Zervas	 - 	https://www.youtube.com/watch?v=16YnOUnbE6s	english, hip, hop, rap, deviouspanda, ioexception, agatsu, jasontime, jasontime12345, 		https://osu.ppy.sh/beatmapsets/1165136	https://osu.ppy.sh/users/17884611
Beyond Cat Nap	 - 	https://www.youtube.com/watch?v=dgRiH4Ko890	instrumental, electronic, short, cut, version, ailv, crissa, tatan, alphabet, aistre, 		https://osu.ppy.sh/beatmapsets/906820	https://osu.ppy.sh/users/16600437
Open Your Mind Red Pulse	 - 	https://www.youtube.com/watch?v=nxLdMz6VY5s	o2jam, o2, jam, lunala, voicehe, voicecore, ujimatcha, video, game, mug, music, korean, 		https://osu.ppy.sh/beatmapsets/972185	https://osu.ppy.sh/users/17951565
kookaburra remix Vini Vici	 - 	https://www.youtube.com/watch?v=ampMKkd5hVU	psytrance, electronic, instrumental, bird, meme, wadu, charge, 		https://osu.ppy.sh/beatmapsets/1217567	https://osu.ppy.sh/users/9586636
Ronron e Rairairai! Coconatsu	 - 	https://www.youtube.com/watch?v=_yF3yN7v9No	jubeat, qubell, pop'n, music, うさぎと猫と少年の夢, dancedancerevolution, a, hige, driver, 東雲夏陽, 東雲心菜, cocona, shinonome, ari, ozawa, natsuhi, shinonome, yuri, hinami, video, 		https://osu.ppy.sh/beatmapsets/1128064	https://osu.ppy.sh/users/17889804
Celebrity Status Marianas Trench	 - 	https://www.youtube.com/watch?v=wSRUDnw9uoc	pop, punk, rock, english, masterpiece, theatre, 		https://osu.ppy.sh/beatmapsets/49351	https://osu.ppy.sh/users/11862339
#1f1e33 Camellia	 - 	None	rhytoly, tairitsu, hikari, black, fate, 5, main, story, かめるかめりあ, cametek, kamelcamellia, electronic, instrumental, dubstep, 		https://osu.ppy.sh/beatmapsets/1193771	https://osu.ppy.sh/users/10459064
Mafijas Breakcore Rahatt	 - 	https://www.youtube.com/watch?v=xAztUuDTQlI	electronic, macedonian, breakcore, amenbreak, balkanbrass, balkancore, gypsycore, cocek, čoček, чочек, adrijana, acevska, ulqui, kqrth, _dusk_, hirok, 		https://osu.ppy.sh/beatmapsets/1164471	https://osu.ppy.sh/users/10891230
Cotton Eye Joe Rednex	 - 	https://www.youtube.com/watch?v=mOYZaiDZ7BM	None		https://osu.ppy.sh/beatmapsets/609455	https://osu.ppy.sh/users/3751796
Palette GAMMA Yuyoyuppe	 - 	https://www.youtube.com/watch?v=fnHWBN1VcL0	meola, megurine, luka, dj'tekina//something, vocaloid, game, rock, gemu-, attang, [crz]player, japanese, 		https://osu.ppy.sh/beatmapsets/409429	https://osu.ppy.sh/users/8826046
SEA-MAN DISCO Grambam36	 - 	https://www.youtube.com/watch?v=cPnSy6P8Bfc	intro, seaman, two, pekin, genjin, ikusei, kit, ytp, yo-kai, yokai, hell's, entrance, world, mamorukun, curse!, まもるクンは呪われてしまった!, siivagunner, silvagunner, dj, professor, 		https://osu.ppy.sh/beatmapsets/1205634	https://osu.ppy.sh/users/12502408
Delicate Taylor Swift	 - 	https://www.youtube.com/watch?v=tCXGJQYZ9JA	skubi, cptsqbany, reputation, pop, english, big, machine, label, group, records, alison, synth-pop, 		https://osu.ppy.sh/beatmapsets/984451	https://osu.ppy.sh/users/11989712
